Year,Alsea,Beaver,Coos,Coquille,Floras,Lower.Umpqua,Middle.Umpqua,Necanicum,Nehalem,Nestucca,North.Umpqua,Salmon,Siletz,Siltcoos,Siuslaw,Sixes,South.Umpqua,Tahkenitch,Tenmile,Tillamook,Yaquina
1990,775,90,2243,2589,,1678,1222,126,1158,160,355,19,228,1578,2269,58,2934,1085,1687,80,318
1991,1011,484,2426,4782,,3123,4546,752,6837,618,1301,5,410,2868,2808,35,2233,1215,3033,1577,317
1992,6273,618,16722,2033,,1797,5275,133,1392,604,1579,11,2386,385,3554,92,435,317,1271,176,528
1993,694,275,14932,7291,,7877,2947,512,3049,340,906,13,207,3569,4600,253,3723,954,5544,571,458
1994,828,675,14500,5119,2653,2762,2162,269,2844,266,899,91,621,1302,3159,238,1081,1056,3354,1105,2040
1995,441,308,10302,2034,1351,10854,3250,181,1700,1537,1293,105,314,4415,6161,77,4715,1577,5092,341,4723
1996,1060,1296,12128,15814,1519,7985,5086,416,527,440,1069,82,395,4707,7234,194,7040,1627,7092,733,4578
1997,601,497,1112,5720,482,1257,563,97,1187,230,577,16,298,2653,501,143,937,1842,4092,437,419
1998,108,401,2985,2412,879,4552,1257,575,1206,202,765,86,316,3122,1020,558,3177,2817,5169,358,510
1999,1341,1511,4818,2667,670,2623,1748,351,3555,2357,1194,14,1209,2756,2980,56,3011,3664,6123,1831,2563
2000,3363,1464,4704,6253,1477,5781,4555,359,14462,1219,1677,179,3387,3835,6532,136,2581,634,8278,2178,637
2001,3228,1832,33595,13833,5664,11639,8940,4832,21928,4164,2634,225,1595,5104,10606,95,11871,3510,10990,1944,3589
2002,9073,3217,33120,7676,3272,18881,10738,2047,17164,16698,3368,543,2129,4636,55445,95,10517,3480,13861,13334,23800
2003,10281,5552,25761,22403,952,16494,11090,2377,32517,10194,2862,42,8038,6628,29003,86,4337,3188,6260,13008,16484
2004,5233,4569,23337,22138,7446,8989,6375,2198,18736,4695,3559,1642,8179,7998,8729,403,10997,3496,7148,2532,5539
2005,13907,2264,17048,11806,506,18591,7608,1218,10451,686,1969,79,14567,4364,16907,105,14364,1897,8464,1995,3441
2006,1972,1950,11266,28577,1104,7994,4852,750,11614,1876,3000,513,5205,5452,5869,294,2246,3611,15064,8774,4247
2007,2146,611,1329,13968,340,4237,1587,431,14033,394,1410,59,2197,1447,3552,97,4549,3551,3957,2295,3158
2008,13320,1218,14881,8791,786,9023,4472,1055,17205,1844,3438,652,20634,3873,17491,43,20935,2604,17131,4828,10913
2009,14638,3575,26979,22286,3203,19245,15075,3827,21753,4252,7720,753,24070,5197,30607,176,15944,2977,9175,16251,11182
2010,9688,2072,27658,23564,11329,17516,18123,4445,32215,1947,9397,1382,6283,7678,25983,92,24983,10681,20385,14890,8589
2011,28337,2389,10999,55667,9217,18715,19962,2120,15322,7857,6020,3636,33094,6354,28082,334,49958,6644,7284,19250,19074
2012,8470,1878,9414,5911,2502,3731,2447,902,2963,1751,3134,297,4495,3945,11946,34,11636,5675,9302,1686,6268
2013,9283,2015,6884,23637,1936,7792,4272,798,4539,946,2774,1165,7660,3797,14118,567,12178,3413,6449,4402,3553
2014,25786,6564,38880,41660,1022,36942,13939,5727,30577,6369,3979,3680,19496,7178,38896,410,11412,3691,11141,20090,25582
2015,6166,332,3030,3357,1585,3725,2245,847,3079,1029,2995,332,2216,1558,10352,168,5878,1085,2086,1345,2400
2016,7375,1709,4624,9494,942,4422,1159,936,7549,2412,1148,1054,3015,2421,9141,120,765,4374,1249,7102,3730
